the-dark-knight-rises,1
good-night-and-good-luck,0.866029
batman-returns,0.810784
the-dark-knight,0.796928
harry-potter-and-the-half-blood-prince,0.680247
sherlock-holmes-a-game-of-shadows,0.679749
monsoon-wedding,0.663579
gangster-squad,0.659991
chaplin,0.641872
if-i-stay,0.611682
the-town,0.589011
batman-v-superman-dawn-of-justice,0.586635
inception,0.582679
the-hangover-part-ii,0.578788
dark-shadows,0.578009
once-upon-a-time-in-anatolia,0.562041
the-losers,0.535803
dolphin-tale-2,0.533734
everything-everything,0.529872
cloud-atlas,0.515423
trouble-with-the-curve,0.509715
harry-potter-and-the-order-of-the-phoenix,0.48687
training-day,0.480259
chernobyl-diaries,0.477617
the-dog,0.474468
the-lego-batman-movie,0.469009
the-hobbit-the-battle-of-the-five-armies,0.465411
the-people-vs-fritz-bauer,0.45162
beatriz-at-dinner,0.450104
darkman,0.448626
before-i-fall,0.44687
quantum-of-solace,0.44625
batman,0.442994
meet-dave,0.435879
the-mummy-returns,0.425939
terminator-salvation,0.423358
the-apparition,0.423164
the-island,0.421865
finding-nemo,0.419439
speed-racer,0.416489
nights-in-rodanthe,0.41304
cop-out,0.407121
timecop,0.403623
ghosts-of-girlfriends-past,0.402568
two-brothers,0.401709
severance,0.401244
sahara,0.399693
ps-i-love-you,0.396466
the-brave-one,0.39501
the-double-hour,0.39392
